Area,Price_RM,Size_SQFT,Bedrooms,Bathrooms,Property_Type,Source,Area_clean
Johor Bahru,618000,1170.0,3.0,3.0,Terrace House,Mudah,Johor Bahru
Batu Pahat,328000,1646.0,4.0,3.0,Terrace House,Mudah,Batu Pahat
Kulai,400000,1798.0,4.0,3.0,Terrace House,Mudah,Kulai
Pasir Gudang,430000,1340.0,3.0,2.0,Terrace House,Mudah,Pasir Gudang
Kulai,285000,960.0,3.0,2.0,Terrace House,Mudah,Kulai
Kluang,290000,1350.0,3.0,2.0,Terrace House,Mudah,Kluang
Skudai,414000,1044.0,3.0,1.0,Terrace House,Mudah,Skudai
Kulai,480000,1400.0,4.0,3.0,Terrace House,Mudah,Kulai
Pasir Gudang,300000,770.0,3.0,2.0,Terrace House,Mudah,Pasir Gudang
Pasir Gudang,380000,1400.0,3.0,2.0,Terrace House,Mudah,Pasir Gudang
Johor Bahru,435000,1300.0,3.0,2.0,Terrace House,Mudah,Johor Bahru
Pasir Gudang,380000,1300.0,3.0,2.0,Terrace House,Mudah,Pasir Gudang
Kulai,420000,1798.0,3.0,2.0,Terrace House,Mudah,Kulai
Johor Bahru,630000,1660.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Pasir Gudang,600000,1760.0,3.0,2.0,Terrace House,Mudah,Pasir Gudang
Iskandar Puteri,1250000,2800.0,4.0,3.0,Terrace House,Mudah,Iskandar Puteri
Pasir Gudang,495000,1400.0,4.0,3.0,Terrace House,Mudah,Pasir Gudang
Skudai,1650000,4000.0,5.0,5.0,Semi-D,Mudah,Skudai
Kulai,640000,3197.0,4.0,3.0,Semi-D,Mudah,Kulai
Johor Bahru,480000,1076.0,4.0,2.0,Terrace House,Mudah,Johor Bahru
Gelang Patah,650000,4502.0,3.0,2.0,Bungalow,Mudah,Gelang Patah
Johor Bahru,599000,4000.0,6.0,5.0,Terrace House,Mudah,Johor Bahru
Pasir Gudang,313000,770.0,3.0,2.0,Terrace House,Mudah,Pasir Gudang
Kluang,366000,1479.0,4.0,2.0,Terrace House,Mudah,Kluang
Johor Bahru,950000,7400.0,4.0,3.0,Bungalow,Mudah,Johor Bahru
Iskandar Puteri,675000,2325.0,4.0,3.0,Semi-D,Mudah,Iskandar Puteri
Pasir Gudang,500000,2065.0,4.0,3.0,Terrace House,Mudah,Pasir Gudang
Pasir Gudang,490000,1400.0,4.0,3.0,Terrace House,Mudah,Pasir Gudang
Segamat,320000,1500.0,3.0,2.0,Terrace House,Mudah,Segamat
Pasir Gudang,540000,1400.0,4.0,3.0,Terrace House,Mudah,Pasir Gudang
Kluang,410000,1765.0,3.0,2.0,Terrace House,Mudah,Kluang
Kulai,299000,1540.0,4.0,2.0,Terrace House,Mudah,Kulai
Kluang,250000,1540.0,3.0,2.0,Terrace House,Mudah,Kluang
Segamat,380000,1660.0,5.0,4.0,Terrace House,Mudah,Segamat
Kluang,290000,2275.0,4.0,2.0,Terrace House,Mudah,Kluang
Gelang Patah,480000,1080.0,3.0,2.0,Terrace House,Mudah,Gelang Patah
Kulai,315000,1001.0,3.0,2.0,Residential,Mudah,Kulai
Pasir Gudang,450000,2620.0,3.0,2.0,Terrace House,Mudah,Pasir Gudang
Kulai,430000,1442.0,3.0,2.0,Terrace House,Mudah,Kulai
Johor Bahru,1580000,1950.0,4.0,4.0,Terrace House,Mudah,Johor Bahru
Gelang Patah,678000,1170.0,4.0,3.0,Terrace House,Mudah,Gelang Patah
Skudai,393000,775.0,3.0,2.0,Terrace House,Mudah,Skudai
Pasir Gudang,370000,1540.0,3.0,2.0,Terrace House,Mudah,Pasir Gudang
Gelang Patah,678000,1400.0,4.0,3.0,Terrace House,Mudah,Gelang Patah
Johor Bahru,438000,5000.0,4.0,3.0,Bungalow,Mudah,Johor Bahru
Kluang,550000,3035.0,4.0,3.0,Terrace House,Mudah,Kluang
Kluang,383000,2145.0,4.0,3.0,Terrace House,Mudah,Kluang
Pasir Gudang,480000,1884.0,3.0,2.0,Terrace House,Mudah,Pasir Gudang
Pasir Gudang,360000,840.0,3.0,3.0,Terrace House,Mudah,Pasir Gudang
Skudai,830000,3200.0,5.0,4.0,Semi-D,Mudah,Skudai
Kulai,400000,1540.0,3.0,2.0,Terrace House,Mudah,Kulai
Kulai,565000,2467.0,4.0,3.0,Terrace House,Mudah,Kulai
Skudai,539000,1170.0,4.0,3.0,Terrace House,Mudah,Skudai
Johor Bahru,480000,1076.0,4.0,2.0,Residential,Mudah,Johor Bahru
Pasir Gudang,288000,852.0,3.0,2.0,Residential,Mudah,Pasir Gudang
Johor Bahru,688000,1400.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Ulu Tiram,475000,1400.0,3.0,2.0,Terrace House,Mudah,Ulu Tiram
Kulai,390000,1080.0,3.0,2.0,Terrace House,Mudah,Kulai
Skudai,480000,1174.0,4.0,3.0,Terrace House,Mudah,Skudai
Pasir Gudang,370000,960.0,3.0,2.0,Terrace House,Mudah,Pasir Gudang
Kulai,349000,775.0,3.0,2.0,Terrace House,Mudah,Kulai
Pasir Gudang,480000,1540.0,4.0,2.0,Terrace House,Mudah,Pasir Gudang
Pasir Gudang,399000,1400.0,4.0,3.0,Terrace House,Mudah,Pasir Gudang
Johor Bahru,560000,1540.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Pasir Gudang,358000,1540.0,3.0,2.0,Terrace House,Mudah,Pasir Gudang
Johor Bahru,680000,1170.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Pasir Gudang,290000,1200.0,3.0,2.0,Terrace House,Mudah,Pasir Gudang
